source,target,weight
1691,139,1
1691,49949,1
1691,89739,1
1691,40942,1
1691,34736,1
1691,85630,5
1691,38023,1
1691,48018,1
1691,46395,1
1691,34840,3
1691,15270,1
1691,8689,1
1691,59171,1
1691,39476,1
1691,38277,1
1691,4389,2
1691,63284,1
1691,8866,1
1691,17625,1
1691,30748,1
1691,63304,1
1691,33337,1
1691,50460,1
1691,39555,1
1691,74993,1
1691,12652,1
1691,6245,1
1691,41231,1
1691,90008,1
1691,97252,2
1691,17450,1
1691,39331,5
1691,3746,1
1691,51971,2
1691,35276,1
1691,88009,1
1691,798,1
1691,39927,1
1691,6242,1
1691,50088,1
1691,6087,3
1691,82190,1
1691,3198,2
1691,43846,1
1691,17095,1
1691,42129,1
1691,39853,2
1691,12818,4
1691,61333,1
1691,58537,1
1691,80202,1
1691,76271,1
1691,6509,4
1691,79824,1
1691,33893,1
1691,81807,1
1691,101806,1
1691,40231,1
1691,44699,1
1691,893,3
1691,33976,1
1691,67589,1
1691,48007,1
1691,47651,2
1691,37360,1
1691,33603,1
1691,4107,2
1691,83875,1
1691,40811,1
1691,74222,1
1691,55771,1
1691,14173,1
1691,91394,1
1691,26067,1
1691,93725,1
1691,77004,1
1691,17272,1
1691,47492,1
1691,16167,1
1691,6116,1
1691,101730,1
1691,40005,1
1691,1705,16
1691,41285,2
1691,820,2
1691,78845,1
1691,6697,1
1691,37103,4
1691,59275,1
1691,23019,1
1691,17351,1
1691,21356,1
1691,8037,1
1691,8822,1
1691,49280,1
1691,79190,1
1691,51697,1
1691,32960,4
1691,17644,1
1691,40994,1
1691,944,1
1691,11745,3
1691,35918,1
1691,53057,1
1691,46842,1
1691,48838,1
1691,26969,1
1691,17523,1
1691,2583,1
1691,57139,1
1691,39300,4
1691,44319,1
1691,58974,1
1691,40672,1
1691,42586,1
1691,56638,1
1691,59696,2
1691,39586,1
1691,36640,4
1691,272,4
1691,47363,1
1691,41765,2
1691,52786,1
1691,6182,2
1691,45732,1
1691,32990,1
1691,25951,1
1691,43504,2
1691,41309,1
1691,67375,1
1691,17228,1
1691,35105,1
1691,45635,1
1691,41034,1
1691,38578,1
1691,12192,2
1691,22560,3
1691,42429,1
1691,74367,2
1691,77,1
1691,37287,2
1691,33477,1
1691,86067,1
1691,94631,1
1691,50676,1
1691,32008,1
1691,98704,1
1691,55644,2
1691,30278,2
1691,39528,1
1691,74118,1
1691,50273,1
1691,59090,2
1691,47924,1
1691,4161,2
1691,25938,1
1691,45587,1
1691,48254,1
1691,33221,1
1691,53341,1
1691,63223,1
1691,39149,1
1691,35145,1
1691,64304,1
1691,73900,1
1691,79991,1
1691,42075,1
1691,65385,1
1691,37112,1
1691,43555,2
1691,5847,2
1691,40690,1
1691,58710,1
1691,54506,2
1691,46379,1
1691,31872,1
1691,759,5
1691,8438,1
1691,86130,1
1691,39713,1
1691,28104,1
1691,56521,1
1691,40840,1
1691,10600,1
1691,86838,1
1691,33330,1
1691,14838,1
1691,6783,10
1691,41997,1
1691,88442,1
1691,56563,1
1691,60906,1
1691,51719,1
1691,29369,1
1691,17468,1
1691,37056,1
1691,9191,2
1691,67751,1
1691,41829,1
1691,97784,1
1691,17954,1
1691,50687,1
1691,44761,1
1691,3744,3
1691,46240,1
1691,14600,2
1691,82999,1
1691,19149,1
1691,41703,1
1691,31223,1
1691,83127,1
1691,45777,3
1691,44827,1
1691,9135,1
1691,44153,2
1691,1906,1
1691,30900,1
1691,5668,5
1691,10655,1
1691,16187,1
1691,30845,1
1691,20634,1
1691,21787,4
1691,12015,3
1691,1932,1
1691,74124,1
1691,99145,1
1691,46743,1
1691,52746,1
1691,42201,1
1691,74921,1
1691,3238,1
1691,19320,1
1691,1695,1
1691,37823,7
1691,89998,1
1691,13175,1
1691,8758,1
1691,95641,1
1691,12784,2
1691,63100,1
1691,49621,1
1691,58006,1
1691,99300,1
1691,993,1
1691,40196,1
1691,45207,1
1691,54803,2
1691,57958,1
1691,41831,1
1691,87871,1
1691,58851,1
1691,37780,1
1691,17299,1
1691,14418,1
1691,5474,3
1691,3105,3
1691,51311,1
1691,7728,1
1691,42288,2
1691,33769,1
1691,8216,2
1691,148,5
1691,6400,1
1691,14390,1
1691,37731,2
1691,50505,1
1691,7606,1
1691,21750,1
1691,35294,1
1691,51937,1
1691,20737,1
1691,45109,1
1691,51128,3
1691,29623,1
1691,24349,5
1691,30347,1
1691,61568,1
1691,72539,1
1691,8121,1
1691,72452,1
1691,13504,1
1691,56698,1
1691,51435,1
1691,1803,4
1691,57676,1
1691,33344,1
1691,53018,2
1691,62580,1
1691,28526,1
1691,59768,1
1691,38792,1
1691,25127,1
1691,58987,1
1691,10435,2
1691,14743,1
1691,14351,1
1691,47408,1
1691,54579,1
1691,102178,1
1691,40253,1
1691,99987,1
1691,92820,1
1691,41111,1
1691,15758,5
1691,44751,1
1691,71529,1
1691,93,2
1691,79270,1
1691,81316,1
1691,37247,1
1691,43263,2
1691,23111,1
1691,39640,1
1691,67528,1
1691,85796,1
1691,36056,2
1691,48360,1
1691,6204,3
1691,2555,1
1691,7750,1
1691,99841,1
1691,48980,1
1691,45077,1
1691,37543,2
1691,53859,1
1691,17622,1
1691,58299,1
1691,65935,2
1691,13649,11
1691,39526,2
1691,11983,1
1691,11329,1
1691,27500,1
1691,62303,2
1691,40605,1
1691,33565,1
1691,24813,1
1691,58681,1
1691,44773,1
1691,43842,1
1691,2705,1
1691,6821,1
1691,44795,1
1691,14898,1
1691,44107,1
1691,57863,1
1691,36820,1
1691,67734,1
1691,34987,1
1691,71136,1
1691,40132,1
1691,37639,1
1691,16985,2
1691,79733,1
1691,15656,1
1691,17037,1
1691,972,1
1691,13687,1
1691,13178,1
1691,66897,1
1691,55879,1
1691,17588,1
1691,54159,1
1691,35374,1
1691,45003,1
1691,7373,1
1691,62705,1
1691,23373,1
1691,34680,1
1691,14147,7
1691,12875,1
1691,4995,4
1691,8218,1
1691,8391,1
1691,17212,3
1691,84792,1
1691,35975,1
1691,45634,1
1691,35191,4
1691,28831,1
1691,20137,1
1691,16172,1
1691,34893,1
1691,11666,1
1691,41142,1
1691,5949,1
1691,87746,1
1691,21221,2
1691,36073,1
1691,14926,1
1691,19329,1
1691,53112,2
1691,5413,1
1691,43129,1
1691,6350,1
1691,16134,1
1691,32037,1
1691,31936,1
1691,20594,1
1691,44286,1
1691,61902,1
1691,52744,1
1691,1857,1
1691,81614,1
1691,12699,1
1691,62636,1
1691,94224,1
1691,64171,6
1691,71022,1
1691,6045,1
1691,67573,1
1691,17948,1
1691,50962,1
1691,45300,1
1691,76850,1
1691,38299,2
1691,5318,1
1691,44425,2
1691,67732,2
1691,98081,2
1691,2425,1
1691,9534,1
1691,7844,1
1691,35361,1
1691,60157,1
1691,35694,1
1691,79969,1
1691,55853,1
1691,55582,1
1691,8528,1
1691,41024,1
1691,95447,1
1691,95586,1
1691,83642,1
1691,49490,5
1691,57850,1
1691,9595,1
1691,70313,1
1691,53094,1
1691,37992,1
1691,1915,1
1691,329,2
1691,62704,2
1691,55755,1
1691,41169,1
1691,42258,1
1691,49154,1
1691,7874,1
1691,6939,1
1691,58940,1
1691,36884,1
1691,38973,5
1691,42246,1
1691,33622,1
1691,88065,1
1691,3147,1
1691,689,1
1691,43521,1
1691,42219,1
1691,55211,2
1691,2283,3
1691,49403,6
1691,18393,1
1691,81393,1
1691,13187,1
1691,33068,1
1691,31359,1
1691,51972,1
1691,38234,1
1691,38938,1
1691,30672,1
1691,84428,1
1691,46249,1
1691,15593,1
1691,53764,1
1691,52393,1
1691,16787,2
1691,50019,1
1691,6772,1
1691,32084,1
1691,46186,1
1691,8161,1
1691,62881,1
1691,63279,1
1691,7289,1
1691,6210,2
1691,54497,1
1691,73059,1
1691,32110,1
1691,31057,1
1691,1180,1
1691,46898,2
1691,1751,4
1691,75746,1
1691,46154,1
1691,56936,1
1691,28375,1
1691,59845,1
1691,26444,1
1691,41397,1
1691,4257,4
1691,39107,1
1691,3323,1
1691,2144,2
1691,56230,1
1691,39429,1
1691,39208,1
1691,7273,11
1691,96921,1
1691,45253,1
1691,43682,1
1691,16738,1
1691,92129,1
1691,7648,1
1691,52690,1
1691,53908,1
1691,97643,1
1691,47889,1
1691,18902,1
1691,5002,4
1691,48601,1
1691,54923,1
1691,75266,1
1691,19742,1
1691,43,1
1691,48269,2
1691,22392,2
1691,52770,2
1691,50969,1
1691,39021,2
1691,13605,1
1691,97174,1
1691,19243,2
1691,57711,1
1691,46471,1
1691,13369,1
1691,68999,2
1691,39733,1
1691,6193,1
1691,81070,1
1691,100210,1
1691,65665,1
1691,47620,1
1691,7214,1
1691,58632,1
1691,1913,1
1691,4403,2
1691,1701,1
1691,29314,1
1691,35339,1
1691,16052,2
1691,20925,1
1691,32203,1
1691,57433,1
1691,36821,2
1691,72228,2
1691,34108,1
1691,7571,1
1691,30503,1
1691,12548,1
1691,45929,1
1691,51249,1
1691,79921,1
1691,97389,1
1691,16761,1
1691,67858,1
1691,76656,1
1691,34917,2
1691,17210,1
1691,46392,1
1691,35831,1
1691,8907,1
1691,21941,1
1691,39935,2
1691,53264,1
1691,3394,2
1691,55310,1
1691,65723,1
1691,39242,2
1691,51143,1
1691,8863,1
1691,17769,1
1691,16841,1
1691,430,3
1691,39378,1
1691,1749,1
1691,36831,1
1691,61419,1
1691,47577,1
1691,41707,6
1691,10568,4
1691,6248,1
1691,28000,1
1691,84175,1
1691,28002,1
1691,2446,6
1691,60997,1
1691,50490,1
1691,53991,1
1691,61681,1
1691,66088,1
1691,62164,1
1691,19450,1
1691,42220,1
1691,57824,1
1691,42541,1
1691,55187,1
1691,1303,2
1691,646,1
1691,7357,1
1691,37878,1
1691,12123,1
1691,39719,1
1691,23205,1
1691,15823,1
1691,10903,2
1691,35970,1
1691,37937,1
1691,18121,1
1691,8547,2
1691,19749,1
1691,35899,1
1691,54477,1
1691,40714,1
1691,43688,1
1691,55864,1
1691,40562,1
1691,91492,1
1691,74007,1
1691,81232,1
1691,22030,1
1691,73594,1
1691,353,1
1691,30075,3
1691,64241,1
1691,90866,1
1691,49745,4
1691,2074,1
1691,46238,1
1691,35243,2
1691,16569,1
1691,72135,1
1691,51585,1
1691,84799,1
1691,37042,1
1691,41466,1
1691,54577,3
1691,62377,1
1691,49080,1
1691,35939,1
1691,13891,1
1691,44948,1
1691,49344,1
1691,6886,7
1691,21393,1
1691,2092,1
1691,43868,1
1691,41098,1
1691,45358,2
1691,8663,1
1691,35859,1
1691,16597,1
1691,23415,1
1691,67533,1
1691,46523,1
1691,49655,1
1691,16688,2
1691,35202,2
1691,44664,2
1691,14417,1
1691,55704,1
1691,37572,1
1691,7309,1
1691,3377,2
1691,45991,1
1691,44363,1
1691,8129,1
1691,90552,1
1691,65554,4
1691,3156,1
1691,58899,1
1691,36066,2
1691,36886,1
1691,8338,1
1691,45820,1
1691,13132,1
1691,2042,1
1691,39510,1
1691,99253,1
